Designator,Pin,PinName,Net,Category,Description
U9,46,,$3N178,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,47,,$3N179,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
U9,48,,$3N15,IC/模块,工作电压:4.7V~80V;最大充电电流:-;电池类型:锂电池；磷酸铁锂电池;电池节数:3~16;
R30,1,,$3N3,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R30,2,,$3N120,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R31,1,,CELL_6+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R31,2,,$3N207,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
Q7,1,,$3N3,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q7,2,,CELL_5+,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q7,3,,$3N14,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D1,1,,$3N3,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D1,2,,CELL_5+,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
R46,1,,$3N37,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R46,2,,$3N125,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R47,1,,CELL_5+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R47,2,,$3N208,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
Q11,1,,$3N37,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q11,2,,CELL_4+,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
Q11,3,,$3N35,三极管,数量:1个N沟道;漏源电压(Vdss):20V;连续漏极电流(Id):2.1A;导通电阻(RDS(on)):115mΩ@2.5V,3.1A;耗散功率(Pd):350mW;阈值电压(Vgs(th)):1.2V;
D5,1,,$3N37,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
D5,2,,CELL_4+,二极管,二极管配置:独立式;稳压值(标称值):5.1V;稳压值(范围):4.85V~5.36V;耗散功率(Pd):350mW;
R58,1,,$3N57,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R58,2,,$3N123,电阻,电阻类型:厚膜电阻;阻值:1kΩ;精度:±1%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R59,1,,CELL_4+,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
R59,2,,$3N209,电阻,电阻类型:厚膜电阻;阻值:2kΩ;精度:±5%;功率:100mW;工作电压:75V;温度系数:±100ppm/℃;
