Designator,Pin,PinName,Net,Category,Description
U9,1,,,IC/模块,
U9,2,,,IC/模块,
U9,3,,,IC/模块,
U9,4,,,IC/模块,
U9,5,,$2N13390,IC/模块,
U9,6,,$2N12935,IC/模块,
U9,7,,NRST,IC/模块,
U9,8,,GND,IC/模块,
U9,9,,+3.3V,IC/模块,
U9,10,,,IC/模块,
U9,11,,,IC/模块,
U9,12,,485_TX,IC/模块,
U9,13,,485_RX,IC/模块,
U9,14,,,IC/模块,
U9,15,,,IC/模块,
U9,16,,SIG,IC/模块,
U9,17,,,IC/模块,
U9,18,,,IC/模块,
U9,19,,,IC/模块,
U9,20,,,IC/模块,
U9,21,,SCL,IC/模块,
U9,22,,SDA,IC/模块,
U9,23,,GND,IC/模块,
U9,24,,+3.3V,IC/模块,
U9,25,,ALERT,IC/模块,
U9,26,,STM32_POWER_EN,IC/模块,
U9,27,,24V_DET_STM32,IC/模块,
U9,28,,,IC/模块,
U9,29,,,IC/模块,
U9,30,,UART1_TX,IC/模块,
U9,31,,UART1_RX,IC/模块,
U9,32,,CAN_RX,IC/模块,
U9,33,,CAN_TX,IC/模块,
U9,34,,SWDIO,IC/模块,
U9,35,,GND,IC/模块,
U9,36,,+3.3V,IC/模块,
U9,37,,SWCLK,IC/模块,
U9,38,,WAKEUP,IC/模块,
U9,39,,,IC/模块,
U9,40,,,IC/模块,
U9,41,,,IC/模块,
U9,42,,,IC/模块,
U9,43,,,IC/模块,
U9,44,,$2N38176,IC/模块,
U9,45,,,IC/模块,
U9,46,,,IC/模块,
U9,47,,GND,IC/模块,
U9,48,,+3.3V,IC/模块,
R20,1,,NRST,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
R20,2,,+3.3V,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:100mW;最大工作电压:75V;温度系数:±100ppm/℃;
C28,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C28,2,,NRST,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
C24,1,,GND,电容,容值:100nF;精度:±10%;额定电压:50V;材质(温度系数):X7R;
