----------------ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------ATORCH LOAD_Tester Software----------------
DATE,VOLTAGE(V),CURRENT(A),POWER(W),RESISTANCE(Ω),E_QUANTITY(Wh),E_CAPACITY(mAh),NTC_TEMP(℃),CPU_TEMP(℃),MOS_TEMP(℃),FAN_SPEED(RPM),
2026-07-06_17:29:14,23.445000,0.000000,0.000000,9999.991,72.333,3393.163,-34.999,30.0,40.978,0
2026-07-06_17:29:15,23.441000,0.000000,0.000000,9999.991,72.333,3393.163,-34.999,30.0,40.864,0
2026-07-06_17:29:16,23.429001,-2.641000,61.909000,8.867,72.333,3393.163,-34.999,30.0,40.864,30
2026-07-06_17:29:17,23.115000,-3.664000,84.719002,7.044,72.353,3393.999,-34.999,30.0,40.751,30
2026-07-06_17:29:18,22.934000,-4.275000,98.063004,5.522,72.378,3395.105,-34.999,30.0,40.751,30
2026-07-06_17:29:19,22.830000,-4.644000,106.041000,5.003,72.406,3396.326,-34.999,30.0,40.751,100
2026-07-06_17:29:20,22.736000,-4.900000,111.481003,4.713,72.436,3397.654,-34.999,30.0,40.864,100
2026-07-06_17:29:21,22.700001,-4.979000,113.083000,4.570,72.468,3399.031,-34.999,30.0,41.096,100
2026-07-06_17:29:22,22.681999,-4.991000,113.250999,4.544,72.499,3400.417,-34.999,30.0,41.450,100
2026-07-06_17:29:23,22.671000,-4.995000,113.291000,4.537,72.531,3401.805,-34.999,30.0,41.880,100
2026-07-06_17:29:24,22.659000,-4.996000,113.246002,4.537,72.562,3403.193,-34.999,30.0,42.484,100
2026-07-06_17:29:25,22.646999,-4.998000,113.216003,4.530,72.594,3404.580,-34.999,30.0,43.046,100
2026-07-06_17:29:26,22.635000,-4.997000,113.125999,4.531,72.625,3405.968,-34.999,30.0,43.640,100
2026-07-06_17:29:27,22.625999,-4.998000,113.100998,4.529,72.656,3407.356,-34.999,30.0,44.321,100
2026-07-06_17:29:28,22.615000,-4.996000,113.019997,4.525,72.688,3408.744,-34.999,29.0,45.014,100
2026-07-06_17:29:29,22.608000,-4.997000,113.000999,4.525,72.719,3410.133,-34.999,29.0,45.779,100
2026-07-06_17:29:30,22.598000,-4.998000,112.974998,4.522,72.751,3411.522,-34.999,29.0,46.523,100
2026-07-06_17:29:31,22.594000,-4.998000,112.945999,4.519,72.782,3412.911,-34.999,29.0,47.270,100
2026-07-06_17:29:32,22.584000,-5.002000,112.994003,4.519,72.813,3414.299,-34.999,29.0,48.049,100
2026-07-06_17:29:33,22.576000,-4.997000,112.848999,4.519,72.845,3415.687,-34.999,29.0,48.773,100
2026-07-06_17:29:34,22.572001,-4.999000,112.852997,4.515,72.876,3417.075,-34.999,29.0,49.431,100
2026-07-06_17:29:35,22.561001,-4.997000,112.765999,4.514,72.907,3418.463,-34.999,29.0,50.057,100
2026-07-06_17:29:36,22.555000,-4.999000,112.768997,4.514,72.939,3419.852,-34.999,29.0,50.860,100
2026-07-06_17:29:37,22.548000,-4.999000,112.741997,4.509,72.970,3421.240,-34.999,29.0,51.558,100
2026-07-06_17:29:38,22.542000,-5.000000,112.739998,4.509,73.001,3422.629,-34.999,29.0,52.218,100
2026-07-06_17:29:39,22.538000,-5.004000,112.802002,4.508,73.033,3424.017,-34.999,29.0,52.956,100
2026-07-06_17:29:40,22.528999,-5.001000,112.695999,4.505,73.064,3425.406,-34.999,29.0,53.491,100
2026-07-06_17:29:41,22.523001,-5.001000,112.671997,4.506,73.095,3426.794,-34.999,29.0,54.212,100
2026-07-06_17:29:42,22.521999,-4.999000,112.601997,4.505,73.126,3428.183,-34.999,29.0,54.735,100
2026-07-06_17:29:43,22.516001,-5.000000,112.597000,4.502,73.158,3429.571,-34.999,29.0,55.328,100
2026-07-06_17:29:44,22.513000,-5.001000,112.622002,4.503,73.189,3430.960,-34.999,29.0,55.888,100
2026-07-06_17:29:45,22.506001,-4.998000,112.509003,4.501,73.220,3432.349,-34.999,29.0,56.708,100
2026-07-06_17:29:46,22.500000,-4.999000,112.508003,4.500,73.251,3433.737,-34.999,29.0,57.183,100
2026-07-06_17:29:47,22.493000,-5.001000,112.531998,4.499,73.283,3435.127,-34.999,29.0,57.579,100
2026-07-06_17:29:48,22.493000,-5.001000,112.512001,4.500,73.314,3436.516,-34.999,29.0,58.024,100
2026-07-06_17:29:49,22.489000,-5.001000,112.495003,4.496,73.345,3437.905,-34.999,29.0,58.668,100
2026-07-06_17:29:50,22.483000,-5.002000,112.484001,4.496,73.376,3439.294,-34.999,29.0,59.104,100
2026-07-06_17:29:51,22.479000,-5.001000,112.452003,4.497,73.408,3440.683,-34.999,29.0,59.807,100
2026-07-06_17:29:52,22.473000,-5.000000,112.377998,4.494,73.439,3442.072,-34.999,29.0,60.504,100
2026-07-06_17:29:53,22.473000,-5.002000,112.442001,4.495,73.470,3443.461,-34.999,29.0,61.137,100
2026-07-06_17:29:54,22.472000,-5.001000,112.412003,4.495,73.501,3444.850,-34.999,29.0,61.651,100
2026-07-06_17:29:55,22.466000,-5.001000,112.385002,4.492,73.533,3446.239,-34.999,29.0,62.104,100
2026-07-06_17:29:56,22.459999,-5.002000,112.374001,4.491,73.564,3447.629,-34.999,29.0,62.442,100
2026-07-06_17:29:57,22.458000,-5.002000,112.366997,4.490,73.595,3449.018,-34.999,29.0,63.065,100
2026-07-06_17:29:58,22.455999,-5.001000,112.311996,4.489,73.626,3450.408,-34.999,29.0,63.628,100
2026-07-06_17:29:59,22.454000,-5.004000,112.389000,4.489,73.657,3451.797,-34.999,30.0,64.001,100
2026-07-06_17:30:00,22.448000,-5.003000,112.338997,4.488,73.689,3453.185,-34.999,30.0,64.310,100
2026-07-06_17:30:01,22.445999,-5.001000,112.272003,4.489,73.720,3454.574,-34.999,30.0,64.864,100
2026-07-06_17:30:02,22.443001,-5.003000,112.311996,4.489,73.751,3455.963,-34.999,30.0,65.231,100
2026-07-06_17:30:03,22.434999,-5.001000,112.232002,4.486,73.782,3457.353,-34.999,30.0,65.596,100
2026-07-06_17:30:04,22.431000,-5.000000,112.195000,4.485,73.813,3458.742,-34.999,30.0,65.899,100
2026-07-06_17:30:05,22.430000,-5.002000,112.210999,4.487,73.844,3460.131,-34.999,30.0,66.161,100
2026-07-06_17:30:06,22.426001,-5.003000,112.231003,4.486,73.876,3461.521,-34.999,30.0,66.505,100
2026-07-06_17:30:07,22.424000,-5.001000,112.165001,4.484,73.907,3462.910,-34.999,30.0,66.916,100
2026-07-06_17:30:08,22.422001,-5.002000,112.174004,4.482,73.938,3464.299,-34.999,30.0,67.121,100
2026-07-06_17:30:09,22.416000,-5.003000,112.165001,4.485,73.969,3465.688,-34.999,30.0,67.529,100
2026-07-06_17:30:10,22.410999,-5.000000,112.088997,4.481,74.000,3467.077,-34.999,30.0,67.935,100
2026-07-06_17:30:11,22.412001,-5.000000,112.073997,4.481,74.031,3468.466,-34.999,30.0,68.340,100
2026-07-06_17:30:12,22.407000,-5.003000,112.127998,4.479,74.062,3469.856,-34.999,30.0,68.474,100
2026-07-06_17:30:13,22.407000,-5.001000,112.092003,4.480,74.094,3471.245,-34.999,31.0,68.876,100
2026-07-06_17:30:14,22.403999,-5.001000,112.065002,4.482,74.125,3472.634,-34.999,31.0,69.077,100
2026-07-06_17:30:15,22.405001,-5.002000,112.100998,4.480,74.156,3474.023,-34.999,31.0,69.277,100
2026-07-06_17:30:16,22.403999,-5.002000,112.087997,4.478,74.187,3475.412,-34.999,31.0,69.675,100
2026-07-06_17:30:17,22.396999,-5.001000,112.037003,4.478,74.218,3476.801,-34.999,31.0,69.873,100
2026-07-06_17:30:18,22.393000,-5.001000,112.017998,4.478,74.249,3478.190,-34.999,31.0,70.237,100
2026-07-06_17:30:19,22.393000,-5.002000,112.030998,4.475,74.280,3479.579,-34.999,31.0,70.467,100
